ID,Match_link,Match_data
76,https://clublocker.com/leagues/match/167104,"Wed, Jul 20, 22 @7:00pm"
77,https://clublocker.com/leagues/match/167103,"Wed, Jul 13, 22 @7:00pm"
78,https://clublocker.com/leagues/match/166985,"Wed, Jul 6, 22 @6:00pm"
79,https://clublocker.com/leagues/match/166984,"Wed, Jul 6, 22 @6:00pm"
80,https://clublocker.com/leagues/match/156598,"Thu, Mar 17, 22 @6:00pm"
81,https://clublocker.com/leagues/match/156597,"Thu, Mar 17, 22 @6:00pm"
82,https://clublocker.com/leagues/match/156595,"Thu, Mar 10, 22 @6:00pm"
83,https://clublocker.com/leagues/match/156596,"Thu, Mar 10, 22 @6:00pm"
84,https://clublocker.com/leagues/match/156593,"Thu, Mar 3, 22 @6:00pm"
85,https://clublocker.com/leagues/match/156594,"Thu, Mar 3, 22 @6:00pm"
86,https://clublocker.com/leagues/match/156592,"Thu, Feb 24, 22 @6:00pm"
87,https://clublocker.com/leagues/match/156591,"Thu, Feb 24, 22 @6:00pm"
88,https://clublocker.com/leagues/match/156590,"Thu, Feb 17, 22 @6:00pm"
89,https://clublocker.com/leagues/match/156587,"Thu, Feb 10, 22 @6:00pm"
90,https://clublocker.com/leagues/match/156588,"Thu, Feb 10, 22 @6:00pm"
91,https://clublocker.com/leagues/match/156580,"Thu, Feb 3, 22 @6:00pm"
92,https://clublocker.com/leagues/match/156579,"Thu, Feb 3, 22 @6:00pm"
93,https://clublocker.com/leagues/match/156586,"Thu, Jan 27, 22 @6:00pm"
94,https://clublocker.com/leagues/match/156585,"Thu, Jan 27, 22 @6:00pm"
95,https://clublocker.com/leagues/match/156584,"Thu, Jan 20, 22 @6:00pm"
96,https://clublocker.com/leagues/match/156583,"Thu, Jan 20, 22 @6:00pm"
97,https://clublocker.com/leagues/match/156581,"Thu, Jan 13, 22 @6:00pm"
98,https://clublocker.com/leagues/match/156582,"Thu, Jan 13, 22 @6:00pm"
99,https://clublocker.com/leagues/match/156578,"Thu, Dec 16, 21 @6:00pm"
100,https://clublocker.com/leagues/match/156577,"Thu, Dec 16, 21 @6:00pm"
101,https://clublocker.com/leagues/match/156575,"Thu, Dec 9, 21 @6:00pm"
102,https://clublocker.com/leagues/match/156576,"Thu, Dec 9, 21 @6:00pm"
103,https://clublocker.com/leagues/match/156574,"Thu, Nov 18, 21 @6:00pm"
104,https://clublocker.com/leagues/match/156573,"Thu, Nov 18, 21 @6:00pm"
105,https://clublocker.com/leagues/match/156572,"Thu, Nov 4, 21 @6:00pm"
106,https://clublocker.com/leagues/match/156569,"Thu, Oct 28, 21 @6:00pm"
107,https://clublocker.com/leagues/match/165028,"Wed, Mar 30, 22 @6:00pm"
108,https://clublocker.com/leagues/match/156466,"Wed, Mar 16, 22 @6:00pm"
109,https://clublocker.com/leagues/match/156465,"Wed, Mar 16, 22 @6:00pm"
110,https://clublocker.com/leagues/match/156517,"Wed, Mar 9, 22 @6:00am"
111,https://clublocker.com/leagues/match/156519,"Wed, Mar 9, 22 @6:00am"
112,https://clublocker.com/leagues/match/156514,"Wed, Mar 2, 22 @6:00am"
113,https://clublocker.com/leagues/match/156513,"Wed, Mar 2, 22 @6:00am"
114,https://clublocker.com/leagues/match/156516,"Wed, Mar 2, 22 @6:00am"
115,https://clublocker.com/leagues/match/156511,"Wed, Feb 23, 22 @6:00am"
116,https://clublocker.com/leagues/match/156512,"Wed, Feb 23, 22 @6:00am"
117,https://clublocker.com/leagues/match/156505,"Wed, Feb 16, 22 @6:00am"
118,https://clublocker.com/leagues/match/156506,"Wed, Feb 16, 22 @6:00am"
